,法人名,職種,給与情報
494,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
495,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
496,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
497,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
498,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
499,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
500,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
501,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,150円～1,400円', '交通費：全額支給', '新型コロナウイルス関連の支援について', 'セブン-イレブンは夢の実現に向けて頑張る人を応援する職場です。', 'シフトの相談にのってもらえるので、', '自分のやりたい事との両立がしやすい働き方を実現できます。', '夢や目標を持った人がたくさん働いているので、', '同じ夢を志す人と出会えるかもしれないのも魅力の1つだと思います。']"
502,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
503,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
504,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
505,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
506,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
507,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
508,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
509,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
510,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
511,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1550円（高校生：時給1500円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1550円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
512,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
513,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
514,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
515,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
516,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
517,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1550円（高校生：時給1500円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1550円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
518,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
519,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1550円（高校生：時給1500円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1550円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
520,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
521,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
522,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
523,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
