,法人名,職種,給与情報
10,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1150円（高校生：時給1100円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
11,['株式会社port（セブンイレブン）'],"['コンビニ', '[ア・パ]①②レジ打ち、品出し(ピッキング)、サービスその他']","['交通費有', '扶養控除内', '昇給あり', '[ア・パ]①時給1,072円～、②時給1,340円～', '交通費：全額支給', '◆昇給あり', '◆研修期間2週間', '自転車、バイク通勤OKです！', 'スタッフは自転車通勤が多いです◎', '◆時給1,072円', '※研修時、高校生も時給変動無し！', '◆随時昇給あり', '◆22時～6時までは、時給1340円！', '※勤務時間は調整可能です。', '＜給与例＞', '◆がっつり稼ぎたいフリーターさん', '週5日勤務の場合（休憩1時間）', '22:00～06:00', '時給1,340円×週5日×4週間', '＝187,600円', '◆学生で部活と両立しながら働きたい方', '週2日勤務の場合', '17:00～22:00', '時給1,072円×週2日×4週間', '＝42,880円', '◆早朝働きたい方', '週4日勤務の場合', '6:00～9:00', '時給1,072円×週4日×4週間', '＝51,456円']"
12,['セブンイレブン千住桜木店'],"['コンビニ', '[ア・パ]レジ打ち、デリ・惣菜販売・スイーツ販売、販売その他']","['扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,080円～', '新型コロナウイルス関連の支援について', 'コンビニってどこも同じだと思っていませんか？', '誰もがよく利用するコンビニだからこそ、', 'お客様が気持ちよく利用できるように', '店舗ごとにさまざまな工夫がされているんですよ。', '働いている人ももちろんさまざま。', 'こちらの店舗様はとにかく仲がいい！', '取材の際も、', '入社して間もない後輩スタッフさんが', '先輩スタッフさんに冗談を言って笑い合っていました(笑)', '面倒見が良くて優しい人ばからりだから、', 'すぐ打ち解けられたんだとか◎', '春夏秋冬いつ行っても明るい店内。', 'ぜひ、この記事を見ているあなたにも', '楽しいセブンバイトの仲間入りしてほしいです♪']"
13,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
14,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '高収入', '[ア・パ]時給1,200円～1,500円', '交通費：全額支給', '※高校生時給1200円／研修期間（3日間）も時給は変わりません／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', '新しいお店でみんなで一緒にスタート！', '仕事の内容も覚える事がたくさんあって大変なイメージを、', '持っている方もいるかもしれませんが、', 'マニュアルがきっちりしているので安心してください。', '新しい環境で、新たにスタートを切りたいという方におススメですよ！']"
15,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
16,['有限会社コスモファミリー'],"['コンビニ', '[ア・パ]①②レジ打ち、販売その他、サービスその他']","['交通費有', 'Raise', 'The', 'Salary', '昇給あり', '[ア・パ]①時給1,072円～、②時給1,340円～', '交通費：全額支給', '・昇給あり', '・研修期間あり(期間中同条件)']"
17,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
18,"['ローソン', '国立中一丁目店']","['コンビニ', '[ア・パ]①②③販売その他、レジ打ち、品出し(ピッキング)']","['扶養控除内', '昇給あり', '[ア・パ]①③時給1,072円～1,340円、②時給1,340円～', '▼時間帯により給与の変動あり', '・22:00～06:00…時給1,301円', '新型コロナウイルス関連の支援について', '取材から伝わる「仲の良さ」！！', '休日にも遊ぶほど仲が良いそうです♪', '皆さんも時間が過ぎるのが早い体験をしてみませんか？？', 'プライベートとお仕事が充実すること間違いなしです☆']"
19,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
